prompt,precision at k,mean reciprocal rank,average precision,cumulative gain,normalized discounted cumulative gain
This is a row to normalize the data,1.0,1.0,1.0,0.2,0.1999050332383666
What are the steps the medical team should take if an infant has not had a hearing screening at the birth hospital or requires a repeat screen as per the hospital policy,0.8,0.521,1.0,0.6000000000000001,0.6889838556505223
What are the administration guidelines for enteral products in the hospital,0.8,0.521,1.0,0.6799999999999999,0.7117758784425452
What safetyrelated topics are included in the Mandatory Yearly Reviews MYRs assignments for new employees during their orientation,0.8,0.521,1.0,0.4,0.5142450142450143
What documentation is required for medications used before and during the MWT and any changes to medications within the last 2 weeks,0.8,0.521,1.0,0.72,0.7891737891737893
Who should be notified in the event of a formal HICS activation and how will they be notified,0.8,0.521,1.0,0.36,0.44634377967711303
How often should vital signs be performed and what should the nurse monitor for during the implementation of the procedure,0.8,0.521,1.0,0.2,0.1999050332383666
How can zero balance ultrafiltration ZBUF in bloodprimed CRRT circuits help achieve electrolyte and acidbase homeostasis prior to patient connection and what are the implications for patient care,0.8,0.521,1.0,0.48000000000000004,0.4852801519468186
How does the document emphasize the importance of recognizing individual differences in patients when following the procedural requirements,0.4,0.333,0.6,0.24000000000000002,0.2678062678062678
What is the purpose of conducting mandatory shift briefings at the beginning of each shift for the Critical Care Transport Team at Boston Childrens Hospital,0.8,0.521,1.0,0.36,0.4710351377018044
When does the notification of the Respondent start the Inquiry timeline according to the policy,0.2,0.125,0.4,0.52,0.6082621082621084
What are the steps involved in preparing a patient for the Maintenance of Wakefulness Test MWT procedure,0.8,0.521,1.0,0.48000000000000004,0.5773979107312441
How would you calculate the plasma volume to be treated for a male patient with a hematocrit HCT of 40 weight of 70kg and height of 150cm using the provided factor,0.8,0.521,1.0,0.32,0.3532763532763533
How will all departments be notified that there is an All Clear in the event of a bomb threat or suspicious package,0.8,0.521,1.0,0.44,0.46771130104463443
How should the enteral feeding administration set be primed according to the hospital policy,0.8,0.521,1.0,0.64,0.7260208926875595
What is the responsibility of the RCO if the RIO in consultation with the Compliance Department concludes that an allegation is not credible or does not fall within the scope of the policy,0.6,0.438,0.8,0.64,0.7393162393162394
What are the indications and exclusions for using the MetaNeb system on a patient,0.8,0.521,1.0,0.32,0.40360873694207033
How are new employees informed about their MYRs assignments for safetyrelated topics during their orientation,0.8,0.521,1.0,0.0,0.0
What are the 2 types of ECMO and what specific support does each type provide,0.8,0.521,1.0,0.48000000000000004,0.5997150997150997
What is the process for notifying the President  CEO in the event of an activation with time sensitivelife safety concerns,0.8,0.521,1.0,0.6000000000000001,0.7056030389363723
What are the specific conditions and complications that warrant a repeat hearing screen for infants according to the Joint Committee on Infant Hearing JCIH,0.6,0.438,0.8,0.52,0.5949667616334283
What does HD stand for in the context of hazardous drugs,0.8,0.521,1.0,0.44,0.5094966761633429
How should blood and body fluid spills be managed in a healthcare setting and where can nurses find further information on emergency spill management,0.6,0.396,0.8,0.56,0.6433998100664768
How should deviations from ideal testing times and conditions be documented by the sleep technologist during the MWT,0.8,0.521,1.0,0.8,0.8000949667616335
How should staff involved in the interventional radiology procedure document their count of all countable items in the sterile field throughout the procedure as per the hospital policy,0.8,0.521,1.0,0.6000000000000001,0.6714150047483382
What are the steps for completing a Manual Chemical Inventory and when would this process be necessary,0.8,0.521,1.0,0.44,0.556980056980057
How does the occupancy rate and length of stay vary according to the complexity of the patient illness,0.8,0.521,1.0,0.4,0.3998100664767332
What is the recommended process for cleaning and disinfecting electrodes after a Polysomnogram,0.8,0.521,1.0,0.32,0.30579297245963916
How is a postoperative surgical site infection SSI diagnosed according to the hospitals policy,0.8,0.521,1.0,0.52,0.6424501424501425
What procedure should be followed for the original films in the hospitals highprofile legal films policy,0.8,0.521,1.0,0.48000000000000004,0.47245963912630584
When should needleless connectors be changed and what are the specific exceptions to the 96hour guideline,0.8,0.521,1.0,0.4,0.45489078822412166
What types of diagnostic and therapeutic procedures are performed in the Gastroenterology Procedure Unit,0.6,0.396,0.8,0.44,0.5318138651471985
Where can the Central Venous Catheter Policy document be found,0.6,0.458,0.8,0.52,0.4786324786324787
What are the steps to be taken in case of a discrepancy in any count during an interventional radiology procedure,0.6,0.458,0.8,0.48000000000000004,0.46153846153846156
What is the proper sequence for doffing PPE when exiting the buffer room after sterile compounding,0.6,0.271,0.8,0.56,0.6519468186134854
What is the purpose of the MetaNeb System in therapy,0.2,0.25,0.2,0.4,0.5142450142450143
How many bed spaces in the unit have the capability to support cardiac respiratory and pulse oximetry monitoring,0.8,0.521,1.0,1.0,1.0
What specific content is covered in The Patient Care Manual related to postpyloric feeding tube insertion policy and procedure,0.8,0.521,1.0,0.52,0.6035137701804368
What should Covered Individuals do if they experience a change that would affect their ability to wear a respirator such as significant weight gainloss or change in facial structure due to surgery,0.8,0.521,1.0,0.4,0.5052231718898386
What specific criteria must a patient meet in order to be considered eligible for donor lymphocyte infusion as outlined in SOP  C702 Patient Selection Criteria,0.8,0.521,1.0,0.44,0.4116809116809117
What are the patient populations that may benefit from closed suctioning without manual ventilation,0.8,0.521,1.0,0.4,0.49762583095916435
What is the process for returning identification badges upon termination of employment or assignment,0.8,0.521,1.0,0.44,0.5389363722697056
What is the process for obtaining an ID badge for Medical Staff and what should they do if their badge expires,0.8,0.521,1.0,0.44,0.5014245014245015
What is the age range of patients served by CAIR,0.8,0.521,1.0,0.2,0.1999050332383666
Where can patients and families find the Kidney Biopsy Family Education resources,0.8,0.521,1.0,0.48000000000000004,0.5859449192782527
What are the preoperative nutritional factors that have been shown to be predictive of a postoperative spinal infection and what are the contributory factors to postoperative spinal fusion complications for children with myelomeningocele,0.6,0.396,0.6,0.28,0.29677113010446343
How should the nurses maintain patient and team member safety during the delivery of electrical therapy as per the hospital policy,0.8,0.521,1.0,0.24000000000000002,0.2678062678062678
Does our hospital perform onsite cannulation for ECMO and if not what is the protocol for transporting patients who have been cannulated at a referring facility,0.8,0.521,1.0,0.56,0.6092117758784426
What are the potential risks associated with holding enteral feeds around packed RBC transfusions for very low birth weight infants,0.8,0.521,1.0,0.44,0.5227920227920229
In the referenced document what are the key components of the adult basic and advanced life support protocols as outlined by the American Heart Association,0.6,0.438,0.8,0.0,0.0
What are the steps to be taken if a suspicious package is discovered and deemed significant,0.6,0.458,0.8,0.64,0.7094017094017094
What are the responsibilities of an IND Sponsor in maintaining effective IND prompt reporting and ensuring control and representation of investigational drugs,0.8,0.521,1.0,0.64,0.7141500474833808
How should safety concerns be documented and communicated to management during the shift briefing,0.8,0.521,1.0,0.52,0.5859449192782527
According to the policy who is ultimately responsible for ensuring that all delegates have appropriate training experience and competence to undertake medical management,0.8,0.521,1.0,0.44,0.4387464387464388
When should a bolus feeding be administered via an enteral feeding pump instead of by gravity,0.8,0.521,1.0,0.72,0.8072174738841406
What medications should the CCTT prepare prior to a circuit change according to the hospital protocol,0.8,0.521,1.0,0.44,0.5479582146248814
What are the relevant aspects of a patients care that providers are expected to inform the patient andor parentsguardian about according to the hospital policy,0.8,0.521,1.0,0.4,0.5142450142450143
What guidelines must be followed when reporting adverse events externally,0.8,0.521,1.0,0.6799999999999999,0.7564102564102565
What does NPO stand for and what does it mean in the context of patient care,0.4,0.333,0.6,0.24000000000000002,0.2678062678062678
What should a nurse do if a minor refuses consent for a potentially lifesaving treatment and negotiation for consent is unsuccessful,0.8,0.521,1.0,0.4,0.5142450142450143
What is the process for submitting revised consents and recruitment notices for review in the CHeRP system,0.8,0.521,1.0,0.56,0.6495726495726496
What are the expected patient outcomes that we should monitor after the insertion of a postpyloric feeding tube,0.8,0.521,1.0,0.28,0.335707502374169
In what way are the activities for improving performance in the Food Service Department integrated into the facilitys Quality Assessment  Performance Improvement QAPI Program,0.8,0.521,1.0,0.44,0.540360873694207
What type of face protection should be worn to protect mucous membranes during activities that may generate splashes or sprays of blood and body fluids as outlined in the hospital policy,0.8,0.521,1.0,0.6000000000000001,0.7013295346628681
What should a nurse do if a patient with an AICD experiences a malfunction or failure,0.4,0.375,0.6,0.64,0.7165242165242166
How can you verify informed consent if paper consent is not produced in person or sent via email,0.8,0.521,1.0,0.4,0.5004748338081672
What is the process for handling a case of research misconduct if the respondent provides a signed and legally sufficient admission in writing,0.8,0.521,1.0,0.36,0.4710351377018044
What is the purpose of using IV additive transfer sets in the hospital setting,0.8,0.521,1.0,0.44,0.54320987654321
Where can nurses find the Family Education Sheet for Pregnancy Testing of PostMenarcheal Female Patients at Childrens Hospital,0.8,0.521,1.0,0.4,0.3998100664767332
What are the key findings of the Cochrane systematic review regarding dressing and securement for central venous access devices CVADs,0.8,0.521,1.0,0.2,0.1999050332383666
What steps should be taken by the Onsite North Dartmouth Manager or Designee in response to a water supply problem and how should they communicate with clinical areas throughout the incident,0.8,0.521,1.0,0.56,0.6761633428300096
Why is it important to debrief every transport regarding positive andor negative outcomes with all team members involved,0.8,0.521,1.0,0.8,0.8608736942070276
When is it necessary to obtain the approval of updated information from individuals allowed to consent on behalf of the patient,0.8,0.521,1.0,0.36,0.4297245963912631
What types of testing are included in nutritional testing in the Gastroenterology Procedure Unit,0.6,0.458,0.8,0.44,0.5318138651471985
What are the indications for administering ondansetron to patients presenting at triage with signs and symptoms of gastroenteritis,0.8,0.521,1.0,0.36,0.4710351377018044
What are the business hours for CAIRs outpatient clinic and when are the clinic sessions scheduled,0.8,0.521,1.0,0.36,0.4710351377018044
How are research records handled and what access does the Respondent have during the proceeding according to the research misconduct policy,0.8,0.521,1.0,0.44,0.48005698005698005
How is the MWT test ended and what information needs to be labeled on the lights on page,0.8,0.521,1.0,0.72,0.7939221272554606
In what situations would the hospital retain jurisdiction over research misconduct proceedings as outlined in the policy,0.8,0.521,1.0,0.32,0.3784425451092118
What is the purpose of ensuring timely attention and followup for red flagged incidents that need further discussion and followup,0.2,0.125,0.4,0.36,0.4297245963912631
How can sponsorinvestigators prepare for FDA inspections in order to minimize the likelihood of receiving Form FDA 483 citing objectionable practices,0.8,0.521,1.0,0.56,0.6210826210826211
What is the purpose of newborn hearing screening and what does it entail,0.6,0.458,0.8,0.4,0.4639126305792973
What are the specific requirements for complete patient care documentation as described in the Nursing Standards and Guidelines,0.8,0.521,1.0,0.6000000000000001,0.6638176638176638
According to the AASM Practice Guidelines what is the recommended duration for the 40minute MWT protocol and when may it be indicated for use,0.8,0.521,1.0,0.48000000000000004,0.462962962962963
How does the policy define undue hardship in relation to providing reasonable accommodations for employees,0.8,0.521,1.0,0.48000000000000004,0.5745489078822413
What are the criteria for diagnosing a superficial incisional Surgical Site Infection SSI,0.6,0.438,0.8,0.56,0.6761633428300096
What steps should be taken to implement Cardiac Resynchronization Therapy Echo for the patient including monitoring and obtaining baseline vital signs,0.8,0.521,1.0,0.64,0.6766381766381767
How many alcohol pads are required for the central venous catheter CVC needleless connector procedure,0.8,0.521,1.0,0.56,0.5531813865147199
How do you record the Lot numbers and Expiration Dates of Liposorber Treatments in the system,0.8,0.521,1.0,0.52,0.44966761633428304
What are the key result indicators KRIs that will be used to measure and assess the identified areas of focus in the QAPI Plan for the Food Service Department,0.8,0.521,1.0,0.44,0.5004748338081672
What precautions should be taken in the transport environment for a patient with an AICD to avoid interference with AICD performance,0.8,0.521,1.0,0.6000000000000001,0.7013295346628681
How often should the outer set of gloves be changed during compounding in the sterile hazardous drug HD compounding room,0.8,0.521,1.0,0.6000000000000001,0.6600189933523267
What considerations should be made for a patient undergoing postpyloric feeding tube insertion in terms of antianxiety medication comfort measures and distraction techniques,0.6,0.438,0.8,0.36,0.3736942070275404
What are the concentrations and types of Morphine infusions specified in the document and what are their respective volumes and diluents,0.0,0.0,0.0,0.2,0.1999050332383666
Who is responsible for receiving the controlled substance upon delivery and who is responsible for delivering it,0.8,0.521,1.0,0.6799999999999999,0.7374169040835707
How is nursing care in the unit consistent with the Massachusetts Nurse Practice Act ANA standards and the standards and policies of the Department of Nursing,0.8,0.521,1.0,0.6799999999999999,0.7355175688509022
Are vaccine providers required to obtain a signature acknowledging receipt of a Vaccine Information Statement VIS according to the hospitals policy,0.8,0.521,1.0,0.44,0.556980056980057
What recommendations should the technologist make to the patient before discharging them from the facility at the end of the study,0.8,0.521,1.0,0.4,0.40360873694207033
What system is utilized for electronic submission of protocols and how does it provide information to IRB members for review,0.8,0.521,1.0,0.64,0.6961063627730295
What specific guidelines or recommendations are outlined in the document for managing a patient with a polyester allergy,0.8,0.521,0.8,0.24000000000000002,0.2678062678062678
When should focused patientfamily education on the ERAS protocol be provided according to the hospital policies,0.6,0.396,0.8,0.32,0.3784425451092118
Who is responsible for coordinating the chemical inventory reconciliation process on hazardous materials used andor stored in the lab,0.8,0.521,1.0,0.6000000000000001,0.586894586894587
What type of medications cannot be administered through a 02micron filter and what are some examples of these medications,0.8,0.521,1.0,0.32,0.40360873694207033
What is the purpose of an Inquiry in the research misconduct policy,0.6,0.438,0.8,0.4,0.49762583095916435
In the event that the incident requires additional resources who does the North Dartmouth Manager notify at the main campus and how can they be reached,0.8,0.521,1.0,0.52,0.6020892687559355
What is the process for determining the credibility of an allegation of research misconduct and who is involved in making this determination,0.8,0.521,1.0,0.36,0.44634377967711303
What is the process for requesting time off to observe a religious holiday according to hospital policy,0.8,0.521,1.0,0.56,0.6087369420702754
How are staff inservices and continuing education programs provided to maintain staff competency and how are educational needs identified for these programs,0.8,0.521,1.0,1.0,1.0
What is the circulation cycle example for 300mL whole blood when using the Liposorber MA03 Polic for LDL Apheresis,0.2,0.062,0.4,0.2,0.1999050332383666
What steps should a nurse take if an infant does not pass the Newborn Hearing Screening test prior to discharge,0.8,0.521,1.0,0.72,0.8072174738841406
What is the protocol for administering radiation to female patients age 12 and over,0.8,0.521,1.0,0.72,0.8024691358024691
What are the considerations for Day Surgery DSU patients regarding bringing a Go Bag and home vent for use in PreOp Holding POH and PostAnesthesia Care Unit PACU,0.8,0.521,1.0,0.0,0.0
According to the Synergy Professional Model of Care how is patient care delivery guided and matched to individual nurse competencies,0.8,0.521,1.0,0.96,0.9572649572649574
What are the most common indications for a Central Venous Catheter CVC according to the hospital policy,0.2,0.125,0.2,0.96,0.9658119658119659
What are the primary functions and services provided by the Gastroenterology Procedure Unit GPU,0.6,0.396,0.8,0.48000000000000004,0.5997150997150997
What are the steps for implementing the medication challenge with adenosine for a patient undergoing minimally invasive procedures,0.8,0.521,1.0,0.0,0.0
According to the hospital policies what are the specific guidelines from the American Heart Association for Advanced Cardiac Life Support and Pediatric Advanced Life Support,0.8,0.521,1.0,0.0,0.0
How should the Heparin Sodium Chloride Injection USP be prepared and used during the apheresis procedure,0.8,0.521,1.0,0.0,0.0
Where can nurses find information about the Hospitals safety policies and standards,0.8,0.521,1.0,0.28,0.31054131054131057
How should the impervious low shedding HD coverall be worn and what should be ensured before entering the compounding area,0.8,0.521,1.0,0.52,0.6035137701804368
What steps should be taken if the fire suppression system is impacted by an outage at the hospital,0.8,0.521,1.0,0.8800000000000001,0.9211775878442546
What equipment is required for implementing Cardiac Resynchronization Therapy Echo for the patient undergoing minimally invasive procedures,0.8,0.521,1.0,0.2,0.1999050332383666
What should a patient who relies on ventilator support bring to the hospital on the day of surgery,0.8,0.521,1.0,0.44,0.556980056980057
What is the duration of validity for informed consent for inpatient services and when would a new consent need to be obtained,0.8,0.521,1.0,0.48000000000000004,0.5773979107312441
What is the typical composition of the Mobile ECMO team,0.8,0.521,1.0,0.44,0.52659069325736
How are protocols prioritized for placement on the agenda for review by the IRB,0.8,0.521,1.0,0.76,0.8034188034188035
Who should be notified if an evacuation is required based on the credibility of the bomb threat and what is the process for notifying them,0.8,0.521,1.0,0.8800000000000001,0.9211775878442546
What are the responsibilities of the consultant in terms of providing ongoing advice and guidance during a patients admission and when can the consultant sign off from their involvement,0.8,0.521,1.0,0.44,0.5479582146248814
In what situations should nurses consult Infectious Disease ID regarding the use of antibiotics,0.8,0.521,1.0,0.24000000000000002,0.2678062678062678
What exclusion criteria requires further consideration for postpyloric feeding tube insertion in patients,0.8,0.521,1.0,0.24000000000000002,0.2678062678062678
What regulations govern human subject research supported or funded by the National Institute of Justice NIJ and how do they protect the privacy of individuals,0.8,0.521,1.0,0.6799999999999999,0.7706552706552707
What specific certifications and licenses are required for a Registered Nurse RN to work at this hospital,0.8,0.521,1.0,0.4,0.4639126305792973
What are the potential causes of a heart murmur in infants and children and why is it important to differentiate between a benign murmur and a murmur indicating heart disease,0.6,0.438,0.8,0.52,0.5118708452041786
What forms are required for LDL Apheresis using Liposorber MA03 Polic and when should they be completed,0.2,0.25,0.4,0.0,0.0
What are the proper procedures for handling and disposing of sharps to prevent injuries and accidental exposure,0.6,0.438,0.8,0.24000000000000002,0.2426400759734093
When should a prescriber order for an abdominal xray KUB be obtained after the placement of a postpyloric feeding tube,0.8,0.521,1.0,0.0,0.0
What equipment is required for procedure planning when administering medication or fluids through a central ven vein according to the hospital policy,0.6,0.271,0.8,0.0,0.0
How should a nurse ensure proper recordkeeping and documentation related to payments made to clinical investigators case histories and electronic data for studies covered under the IND,0.8,0.521,1.0,0.44,0.5479582146248814
What are the most common organisms involved in surgical site infections SSIs after spinal fusion and what are the specific pathogens for deep SSIs after spinal deformity surgery,0.6,0.438,0.8,0.2,0.1999050332383666
What is the purpose of using a standard MWT protocol consistent with AASM practice parameters,0.8,0.521,1.0,0.72,0.7948717948717949
How should the transfer set and needle be disposed of after transferring the solution to the sterile evacuated container,0.8,0.521,1.0,0.6000000000000001,0.7056030389363723
What are the requirements for obtaining and maintaining a Privacy Certificate when conducting research funded by NIJ,0.8,0.521,1.0,0.4,0.48005698005698005
What are the two types of reports mentioned in the Documentation section of the Critical Incident Policy and Procedure document,0.6,0.396,0.8,0.52,0.6424501424501425
When should clean gloves be worn according to the hospitals Standard Precautions PolicyProcedure,0.8,0.521,1.0,0.6000000000000001,0.6191832858499525
What is the activation plan for the CommunicationsTelephone System Failure in North Dartmouth as part of the Hospital Incident Command System HICS,0.8,0.521,1.0,0.52,0.5474833808167142
Where can nurses find the adapted material on the American Society for Healthcare Engineering website,0.8,0.521,1.0,0.36,0.4710351377018044
Where can nurses find guidelines for line choice when considering a CVC for a patient,0.8,0.521,1.0,0.96,0.9320987654320989
What are the potential symptomatic responses a patient may experience during a tilt study and how should the nurse discuss the treatment plan with the prescriber,0.8,0.521,1.0,0.0,0.0
What are the responsibilities of recipient institutions in communicating research misconduct to the NIH according to NOTOD19020,0.8,0.521,1.0,0.32,0.40360873694207033
What resources are available to assist employees in learning about the Hospitals safety policies and standards,0.8,0.521,1.0,0.4,0.3817663817663818
How can a telephone system disruption affect communication within and outside of the hospital,0.8,0.521,1.0,0.48000000000000004,0.5773979107312441
What medications are specified for use during a tilt table study and where can the dosing information be found,0.6,0.271,0.8,0.0,0.0
What type of containers are large volume parenterals LVP transferred to using IV additive transfer sets,0.8,0.521,1.0,0.36,0.4710351377018044
According to the hospital policy what are the required laboratory evaluations prior to receipt of DLI to confirm a patient is appropriate to receive DLI on the day of infusion,0.8,0.521,1.0,0.0,0.0
Who is responsible for supporting discharge planning and utilization review process on 10NW,0.8,0.521,1.0,0.6000000000000001,0.6628679962013296
What is the responsibility of PPSQ in investigating and responding to adverse events and when may this responsibility be delegated to the individual or department reporting the event,0.8,0.521,1.0,0.52,0.6334283000949669
Why is it important to avoid using the abbreviation SSRI in medicationrelated documentation,0.0,0.0,0.0,0.2,0.1999050332383666
When must new gloves bouffant mask and beard cover be donned when moving to a nonHD sterile compounding room,0.8,0.521,1.0,0.6000000000000001,0.6391263057929726
At what age is a newborn infant defined for the purpose of hearing screening according to the hospital policy,0.8,0.521,1.0,0.52,0.5284900284900285
What are the steps for treating shock according to the CCTT Shock protocol after a successful capture occurs during cardioversion or defibrillation,0.8,0.521,1.0,0.56,0.6462488129154796
When should emergency water be used according to the hospital policy,0.6,0.458,0.8,0.36,0.4710351377018044
What does LVP stand for in the context of IV Additive Transfer Set Standard Operating Procedures,0.6,0.458,0.6,0.52,0.6424501424501425
